'BAU', 'BAU*', 'BAU...', 'Powiat augustowski', 'Województwo podlaskie');
'TK', 'TK[0-9]*', 'TK...', 'Kielce', 'Województwo świętokrzyskie');
'TKA', 'TKA*', 'TKA...', 'Powiat kazimierski', 'Województwo świętokrzyskie');
'TKI', 'TKI*', 'TKI...', 'Powiat kielecki', 'Województwo świętokrzyskie');
'TKN', 'TKN*', 'TKN...', 'Powiat konecki', 'Województwo świętokrzyskie');
'TLW', 'TLW*', 'TLW...', 'Powiat włoszczowski', 'Województwo świętokrzyskie');
'TOP', 'TOP*', 'TOP...', 'Powiat opatowski', 'Województwo świętokrzyskie');
'TOS', 'TOS*', 'TOS...', 'Powiat ostrowiecki', 'Województwo świętokrzyskie');
'TPI', 'TPI*', 'TPI...', 'Powiat pińczowski', 'Województwo świętokrzyskie');
'TSA', 'TSA*', 'TSA...', 'Powiat sandomierski', 'Województwo świętokrzyskie');
'TSK', 'TSK*', 'TSK...', 'Powiat skarżyski', 'Województwo świętokrzyskie');
'TST', 'TST*', 'TST...', 'Powiat starachowicki', 'Województwo świętokrzyskie');
'TSZ', 'TSZ*', 'TSZ...', 'Powiat staszowski', 'Województwo świętokrzyskie');
'WA', 'WA[0-9]*', 'WA...', 'Warszawa Białołęka', 'Województwo mazowieckie');
'WB', 'WB[0-9]*', 'WB...', 'Warszawa Bemowo', 'Województwo mazowieckie');
'WBR', 'WBR*', 'WBR...', 'Powiat białobrzeski', 'Województwo mazowieckie');
'WCI', 'WCI*', 'WCI...', 'Powiat ciechanowski', 'Województwo mazowieckie');
'WD', 'WD[0-9]*', 'WD...', 'Warszawa Bielany', 'Województwo mazowieckie');
'WE', 'WE[0-9]*', 'WE...', 'Warszawa Mokotów', 'Województwo mazowieckie');
'WF', 'WF[0-9]*', 'WF...', 'Warszawa Praga Południe', 'Województwo mazowieckie');
'WG', 'WG[0-9]*', 'WG...', 'Powiat garwoliński', 'Województwo mazowieckie');
'WGM', 'WGM*', 'WGM...', 'Powiat grodziski', 'Województwo mazowieckie');
'WGR', 'WGR*', 'WGR...', 'Powiat grójecki', 'Województwo mazowieckie');
'WGS', 'WGS*', 'WGS...', 'Powiat gostyniński', 'Województwo mazowieckie');
'WH', 'WH[0-9]*', 'WH...', 'Warszawa Praga Północ', 'Województwo mazowieckie');
'WI', 'WI[0-9]*', 'WI...', 'Warszawa Śródmieście', 'Województwo mazowieckie');
'WJ', 'WJ[0-9]*', 'WJ...', 'Warszawa Targówek', 'Województwo mazowieckie');
'WK', 'WK[0-9]*', 'WK...', 'Warszawa Ursus', 'Województwo mazowieckie');
'WKZ', 'WKZ*', 'WKZ...', 'Powiat kozienicki', 'Województwo mazowieckie');
'WL', 'WL[0-9]*', 'WL...', 'Powiat legionowski', 'Województwo mazowieckie');
'WLI', 'WLI*', 'WLI...', 'Powiat lipski', 'Województwo mazowieckie');
'WLS', 'WLS*', 'WLS...', 'Powiat łosicki', 'Województwo mazowieckie');
'WM', 'WM[0-9]*', 'WM...', 'Powiat miński', 'Województwo mazowieckie');
'WMA', 'WMA*', 'WMA...', 'Powiat makowski', 'Województwo mazowieckie');
'WML', 'WML*', 'WML...', 'Powiat mławski', 'Województwo mazowieckie');
'WN', 'WN[0-9]*', 'WN...', 'Warszawa Ursynów', 'Województwo mazowieckie');
'WND', 'WND*', 'WND...', 'Powiat nowodworski', 'Województwo mazowieckie');
'WO', 'WO[0-9]*', 'WO...', 'Ostrołęka', 'Województwo mazowieckie');
'WOR', 'WOR*', 'WOR...', 'Powiat ostrowski', 'Województwo mazowieckie');
'WOS', 'WOS*', 'WOS...', 'Powiat ostrołęcki', 'Województwo mazowieckie');
'WOT', 'WOT*', 'WOT...', 'Powiat otwocki', 'Województwo mazowieckie');
'WP', 'WP[0-9]*', 'WP...', 'Płock', 'Województwo mazowieckie');
'WPI', 'WPI*', 'WPI...', 'Powiat piaseczyński', 'Województwo mazowieckie');
'WPL', 'WPL*', 'WPL...', 'Powiat płocki', 'Województwo mazowieckie');
'WPN', 'WPN*', 'WPN...', 'Powiat płoński', 'Województwo mazowieckie');
'WPR', 'WPR*', 'WPR...', 'Powiat pruszkowski', 'Województwo mazowieckie');
'WPU', 'WPU*', 'WPU...', 'Powiat pułtuski', 'Województwo mazowieckie');
'WPY', 'WPY*', 'WPY...', 'Powiat przysuski', 'Województwo mazowieckie');
'WPZ', 'WPZ*', 'WPZ...', 'Powiat przasnyski', 'Województwo mazowieckie');
'WR', 'WR[0-9]*', 'WR...', 'Radom', 'Województwo mazowieckie');
'WRA', 'WRA*', 'WRA...', 'Powiat radomski', 'Województwo mazowieckie');
'WS', 'WS[0-9]*', 'WS...', 'Siedlce', 'Województwo mazowieckie');
'WSC', 'WSC*', 'WSC...', 'Powiat sochaczewski', 'Województwo mazowieckie');
'WSE', 'WSE*', 'WSE...', 'Powiat sierpecki', 'Województwo mazowieckie');
'WSI', 'WSI*', 'WSI...', 'Powiat siedlecki', 'Województwo mazowieckie');
'WSK', 'WSK*', 'WSK...', 'Powiat sokołowski', 'Województwo mazowieckie');
'WSZ', 'WSZ*', 'WSZ...', 'Powiat szydłowiecki', 'Województwo mazowieckie');
'WT', 'WT[0-9]*', 'WT...', 'Warszawa Wawer', 'Województwo mazowieckie');
'WU', 'WU[0-9]*', 'WU...', 'Warszawa Ochota', 'Województwo mazowieckie');
'WW', 'WW[0-9]*[FGHJW]', 'WW...(FGHJW)', 'Warszawa Wilanów', 'Województwo mazowieckie');
'WW', 'WW[0-9]*[ACEXY]', 'WW...(ACEXY)', 'Warszawa Rembertów', 'Województwo mazowieckie');
'WW', 'WW[0-9]*[KLMNVRS]', 'WW...(KLMNVRS)', 'Warszawa Włochy', 'Województwo mazowieckie');
'WWE', 'WWE*', 'WWE...', 'Powiat węgrowski', 'Województwo mazowieckie');
'WWL', 'WWL*', 'WWL...', 'Powiat wołomiński', 'Województwo mazowieckie');
'WWY', 'WWY*', 'WWY...', 'Powiat wyszkowski', 'Województwo mazowieckie');
'WX', 'WX[0-9]*', 'WX...', 'Warszawa Żoliborz', 'Województwo mazowieckie');
'WX', 'WX[0-9]*Y', 'WX...Y', 'Warszawa Wesoła', 'Województwo mazowieckie');
'WY', 'WY[0-9]*', 'WY...', 'Warszawa Wola', 'Województwo mazowieckie');
'WZ', 'WZ[0-9]*', 'WZ...', 'Powiat warszawski zachodni', 'Województwo mazowieckie');
'WZU', 'WZU*', 'WZU...', 'Powiat żuromiński', 'Województwo mazowieckie');
'WZW', 'WZW*', 'WZW...', 'Powiat zwoleński', 'Województwo mazowieckie');
'WZY', 'WZY*', 'WZY...', 'Powiat żyrardowski', 'Województwo mazowieckie');
'ZBI', 'ZBI*', 'ZBI...', 'Powiat białogardzki', 'Województwo zachodniopomorskie');
'ZCH', 'ZCH*', 'ZCH...', 'Powiat choszczeński', 'Województwo zachodniopomorskie');
'ZDR', 'ZDR*', 'ZDR...', 'Powiat drawski', 'Województwo zachodniopomorskie');
'ZGL', 'ZGL*', 'ZGL...', 'Powiat goleniowski', 'Województwo zachodniopomorskie');
'ZGR', 'ZGR*', 'ZGR...', 'Powiat gryfiński', 'Województwo zachodniopomorskie');
'ZGY', 'ZGY*', 'ZGY...', 'Powiat gryficki', 'Województwo zachodniopomorskie');
'ZK', 'ZK[0-9]*', 'ZK...', 'Koszalin', 'Województwo zachodniopomorskie');
'ZKA', 'ZKA*', 'ZKA...', 'Powiat kamieński', 'Województwo zachodniopomorskie');
'ZKL', 'ZKL*', 'ZKL...', 'Powiat kołobrzeski', 'Województwo zachodniopomorskie');
'ZKO', 'ZKO*', 'ZKO...', 'Powiat koszaliński', 'Województwo zachodniopomorskie');
'ZLO', 'ZLO*', 'ZLO...', 'Powiat łobeski', 'Województwo zachodniopomorskie');
'ZMY', 'ZMY*', 'ZMY...', 'Powiat myśliborski', 'Województwo zachodniopomorskie');
'ZPL', 'ZPL*', 'ZPL...', 'Powiat policki', 'Województwo zachodniopomorskie');
'ZPY', 'ZPY*', 'ZPY...', 'Powiat pyrzycki', 'Województwo zachodniopomorskie');
'ZS', 'ZS[0-9]*', 'ZS...', 'Szczecin', 'Województwo zachodniopomorskie');
'ZSD', 'ZSD*', 'ZSD...', 'Powiat świdwiński', 'Województwo zachodniopomorskie');
'ZSL', 'ZSL*', 'ZSL...', 'Powiat sławieński', 'Województwo zachodniopomorskie');
'ZST', 'ZST*', 'ZST...', 'Powiat stargardzki', 'Województwo zachodniopomorskie');
'ZSW', 'ZSW*', 'ZSW...', 'Świnoujście', 'Województwo zachodniopomorskie');
'ZSZ', 'ZSZ*', 'ZSZ...', 'Powiat szczecinecki', 'Województwo zachodniopomorskie');
'ZWA', 'ZWA*', 'ZWA...', 'Powiat wałecki', 'Województwo zachodniopomorskie');
'HA', 'HA*', 'HA...', 'Centralne Biuro Antykorupcyjne', 'Instytucje strzegące bezpieczeństwa i porządku publicznego');
'HB', 'HB*', 'HB...', 'Biuro Ochrony Rządu', 'Instytucje strzegące bezpieczeństwa i porządku publicznego');
'HC', 'HC*', 'HC...', 'Służba Celna', 'Instytucje strzegące bezpieczeństwa i porządku publicznego');
'HK', 'HK*', 'HK...', 'Agencja Bezpieczeństwa Wewnętrznego i Agencja Wywiadu', 'Instytucje strzegące bezpieczeństwa i porządku publicznego');
'HM', 'HM*', 'HM...', 'Służba Kontrwywiadu Wojskowego i Służba Wywiadu Wojskowego', 'Instytucje strzegące bezpieczeństwa i porządku publicznego');
'HP', 'HP*', 'HP...', 'Policja', 'Instytucje strzegące bezpieczeństwa i porządku publicznego');
'HS', 'HS*', 'HS...', 'Kontrola Skarbowa', 'Instytucje strzegące bezpieczeństwa i porządku publicznego');
'HW', 'HW*', 'HW...', 'Straż Graniczna', 'Instytucje strzegące bezpieczeństwa i porządku publicznego');
'HN', 'HN*', 'HN...', 'GROM ', 'Instytucje strzegące bezpieczeństwa i porządku publicznego');
'UA', 'UA*', 'UA...', 'Pojazdy osobowo-terenowe', 'Tablice wojskowe');
'UB', 'UB*', 'UB...', 'Transportery opancerzone', 'Tablice wojskowe');
'UC', 'UC*', 'UC...', 'Pojazdy osobowo-ciężarowe', 'Tablice wojskowe');
'UD', 'UD*', 'UD...', 'Autobusy', 'Tablice wojskowe');
'UE', 'UE*', 'UE...', 'Pojazdy ciężarowo-terenowe', 'Tablice wojskowe');
'UG', 'UG*', 'UG...', 'Pojazdy specjalne na podwoziu ciężarowo-terenowym', 'Tablice wojskowe');
'UI', 'UI*', 'UI...', 'Przyczepy transportowe', 'Tablice wojskowe');
'UJ', 'UJ*', 'UJ...', 'Przyczepy specjalne', 'Tablice wojskowe');
'UK', 'UK*', 'UK...', 'Motocykle', 'Tablice wojskowe');
'W001', 'W001*', 'W001...', 'USA', 'Tablice dyplomatyczne');
'W002', 'W002*', 'W002...', 'Wielka Brytania', 'Tablice dyplomatyczne');
'W003', 'W003*', 'W003...', 'Francja', 'Tablice dyplomatyczne');
'W004', 'W004*', 'W004...', 'Kanada', 'Tablice dyplomatyczne');
'W005', 'W005*', 'W005...', 'Niemcy', 'Tablice dyplomatyczne');
'W006', 'W006*', 'W006...', 'Holandia', 'Tablice dyplomatyczne');
'W007', 'W007*', 'W007...', 'Włochy', 'Tablice dyplomatyczne');
'W008', 'W008*', 'W008...', 'Austria', 'Tablice dyplomatyczne');
'W009', 'W009*', 'W009...', 'Japonia', 'Tablice dyplomatyczne');
'W010', 'W010*', 'W010...', 'Turcja', 'Tablice dyplomatyczne');
'W011', 'W011*', 'W011...', 'Belgia', 'Tablice dyplomatyczne');
'W012', 'W012*', 'W012...', 'Dania', 'Tablice dyplomatyczne');
'W013', 'W013*', 'W013...', 'Norwegia', 'Tablice dyplomatyczne');
'W014', 'W014*', 'W014...', 'Grecja', 'Tablice dyplomatyczne');
'W015', 'W015*', 'W015...', 'Australia', 'Tablice dyplomatyczne');
'W016', 'W016*', 'W016...', 'Algieria', 'Tablice dyplomatyczne');
'W017', 'W017*', 'W017...', 'Afganistan', 'Tablice dyplomatyczne');
'W018', 'W018*', 'W018...', 'Argentyna', 'Tablice dyplomatyczne');
'W019', 'W019*', 'W019...', 'Brazylia', 'Tablice dyplomatyczne');
'W020', 'W020*', 'W020...', 'Bangladesz', 'Tablice dyplomatyczne');
'W021', 'W021*', 'W021...', 'Egipt', 'Tablice dyplomatyczne');
'W022', 'W022*', 'W022...', 'Ekwador', 'Tablice dyplomatyczne');
'W023', 'W023*', 'W023...', 'Finlandia', 'Tablice dyplomatyczne');
'W024', 'W024*', 'W024...', 'Hiszpania', 'Tablice dyplomatyczne');
'W025', 'W025*', 'W025...', 'Irak', 'Tablice dyplomatyczne');
'W026', 'W026*', 'W026...', 'Iran', 'Tablice dyplomatyczne');
'W027', 'W027*', 'W027...', 'Indie', 'Tablice dyplomatyczne');
'W028', 'W028*', 'W028...', 'Indonezja', 'Tablice dyplomatyczne');
'W029', 'W029*', 'W029...', 'Kolumbia', 'Tablice dyplomatyczne');
'W030', 'W030*', 'W030...', 'Malezja', 'Tablice dyplomatyczne');
'W031', 'W031*', 'W031...', 'Libia', 'Tablice dyplomatyczne');
'W032', 'W032*', 'W032...', 'Maroko', 'Tablice dyplomatyczne');
'W033', 'W033*', 'W033...', 'Meksyk', 'Tablice dyplomatyczne');
'W034', 'W034*', 'W034...', 'Nigeria', 'Tablice dyplomatyczne');
'W035', 'W035*', 'W035...', 'Pakistan', 'Tablice dyplomatyczne');
'W036', 'W036*', 'W036...', 'Portugalia', 'Tablice dyplomatyczne');
'W037', 'W037*', 'W037...', 'Palestyna', 'Tablice dyplomatyczne');
'W038', 'W038*', 'W038...', 'Syria', 'Tablice dyplomatyczne');
'W039', 'W039*', 'W039...', 'Szwecja', 'Tablice dyplomatyczne');
'W040', 'W040*', 'W040...', 'Szwajcaria', 'Tablice dyplomatyczne');
'W041', 'W041*', 'W041...', 'Tunezja', 'Tablice dyplomatyczne');
'W042', 'W042*', 'W042...', 'Tajlandia', 'Tablice dyplomatyczne');
'W043', 'W043*', 'W043...', 'Wenezuela', 'Tablice dyplomatyczne');
'W044', 'W044*', 'W044...', 'Urugwaj', 'Tablice dyplomatyczne');
'W045', 'W045*', 'W045...', 'Peru', 'Tablice dyplomatyczne');
'W046', 'W046*', 'W046...', 'Jemen', 'Tablice dyplomatyczne');
'W047', 'W047*', 'W047...', 'Kostaryka', 'Tablice dyplomatyczne');
'W048', 'W048*', 'W048...', 'Kongo', 'Tablice dyplomatyczne');
'W049', 'W049*', 'W049...', 'Izrael', 'Tablice dyplomatyczne');
'W050', 'W050*', 'W050...', 'Nikaragua', 'Tablice dyplomatyczne');
'W051', 'W051*', 'W051...', 'Chile', 'Tablice dyplomatyczne');
'W052', 'W052*', 'W052...', 'Watykan', 'Tablice dyplomatyczne');
'W053', 'W053*', 'W053...', 'Korea Południowa', 'Tablice dyplomatyczne');
'W054', 'W054*', 'W054...', 'Przedstawicielstwo Komisji Wspólnot Europejskich', 'Tablice dyplomatyczne');
'W055', 'W055*', 'W055...', 'Irlandia', 'Tablice dyplomatyczne');
'W056', 'W056*', 'W056...', 'Bank Światowy', 'Tablice dyplomatyczne');
'W057', 'W057*', 'W057...', 'Międzynarodowy Fundusz Walutowy', 'Tablice dyplomatyczne');
'W058', 'W058*', 'W058...', 'Filipiny', 'Tablice dyplomatyczne');
'W059', 'W059*', 'W059...', 'Międzynarodowa Korporacja Finansowa', 'Tablice dyplomatyczne');
'W060', 'W060*', 'W060...', 'RPA', 'Tablice dyplomatyczne');
'W061', 'W061*', 'W061...', 'Biuro Instytucji Demokratycznych i Praw Człowieka OBWE', 'Tablice dyplomatyczne');
'W062', 'W062*', 'W062...', 'Cypr', 'Tablice dyplomatyczne');
'W063', 'W063*', 'W063...', 'Kuwejt', 'Tablice dyplomatyczne');
'W064', 'W064*', 'W064...', 'Organizacja Narodów Zjednoczonych', 'Tablice dyplomatyczne');
'W065', 'W065*', 'W065...', 'Rosja', 'Tablice dyplomatyczne');
'W066', 'W066*', 'W066...', 'Słowacja', 'Tablice dyplomatyczne');
'W067', 'W067*', 'W067...', 'Czechy', 'Tablice dyplomatyczne');
'W068', 'W068*', 'W068...', 'Bułgaria', 'Tablice dyplomatyczne');
'W069', 'W069*', 'W069...', 'Węgry', 'Tablice dyplomatyczne');
'W070', 'W070*', 'W070...', 'Rumunia', 'Tablice dyplomatyczne');
'W071', 'W071*', 'W071...', 'Wietnam', 'Tablice dyplomatyczne');
'W072', 'W072*', 'W072...', 'Serbia', 'Tablice dyplomatyczne');
'W073', 'W073*', 'W073...', 'Korea Północna', 'Tablice dyplomatyczne');
'W074', 'W074*', 'W074...', 'Kuba', 'Tablice dyplomatyczne');
'W075', 'W075*', 'W075...', 'Albania', 'Tablice dyplomatyczne');
'W076', 'W076*', 'W076...', 'Chiny', 'Tablice dyplomatyczne');
'W077', 'W077*', 'W077...', 'Mongolia', 'Tablice dyplomatyczne');
'W078', 'W078*', 'W078...', 'Międzynarodowa Organizacja Pracy', 'Tablice dyplomatyczne');
'W079', 'W079*', 'W079...', 'Organizacja Kooperacyjna ds. Kolei', 'Tablice dyplomatyczne');
'W080', 'W080*', 'W080...', 'Klub Dyplomatyczny', 'Tablice dyplomatyczne');
'W081', 'W081*', 'W081...', 'Laos', 'Tablice dyplomatyczne');
'W082', 'W082*', 'W082...', 'Angola', 'Tablice dyplomatyczne');
'W083', 'W083*', 'W083...', 'Ukraina', 'Tablice dyplomatyczne');
'W084', 'W084*', 'W084...', 'Europejski Bank Odbudowy i Rozwoju', 'Tablice dyplomatyczne');
'W085', 'W085*', 'W085...', 'Litwa', 'Tablice dyplomatyczne');
'W086', 'W086*', 'W086...', 'Białoruś', 'Tablice dyplomatyczne');
'W087', 'W087*', 'W087...', 'Łotwa', 'Tablice dyplomatyczne');
'W088', 'W088*', 'W088...', 'Chorwacja', 'Tablice dyplomatyczne');
'W089', 'W089*', 'W089...', 'Liban', 'Tablice dyplomatyczne');
'W090', 'W090*', 'W090...', 'Słowenia', 'Tablice dyplomatyczne');
'W091', 'W091*', 'W091...', 'Gwatemala', 'Tablice dyplomatyczne');
'W092', 'W092*', 'W092...', 'Estonia', 'Tablice dyplomatyczne');
'W093', 'W093*', 'W093...', 'Macedonia', 'Tablice dyplomatyczne');
'W094', 'W094*', 'W094...', 'Mołdawia', 'Tablice dyplomatyczne');
'W095', 'W095*', 'W095...', 'Izrael', 'Tablice dyplomatyczne');
'W096', 'W096*', 'W096...', 'Armenia', 'Tablice dyplomatyczne');
'W097', 'W097*', 'W097...', 'Sri Lanka', 'Tablice dyplomatyczne');
'W098', 'W098*', 'W098...', 'Kazachstan', 'Tablice dyplomatyczne');
'W099', 'W099*', 'W099...', 'Arabia Saudyjska', 'Tablice dyplomatyczne');
'W100', 'W100*', 'W100...', 'Gruzja', 'Tablice dyplomatyczne');
'W101', 'W101*', 'W101...', 'Uzbekistan', 'Tablice dyplomatyczne');
'W102', 'W102*', 'W102...', 'UN-HABITAT', 'Tablice dyplomatyczne');
'W103', 'W103*', 'W103...', 'Nowa Zelandia', 'Tablice dyplomatyczne');
'W104', 'W104*', 'W104...', 'Azerbejdżan', 'Tablice dyplomatyczne');
'W105', 'W105*', 'W105...', 'Suwerenny Wojskowy Zakon Maltański', 'Tablice dyplomatyczne');
'W106', 'W106*', 'W106...', 'Kambodża', 'Tablice dyplomatyczne');
'W107', 'W107*', 'W107...', 'Frontex', 'Tablice dyplomatyczne');
'W108', 'W108*', 'W108...', 'Luksemburg', 'Tablice dyplomatyczne');
'W109', 'W109*', 'W109...', 'Bośnia i Hercegowina', 'Tablice dyplomatyczne');
'W110', 'W110*', 'W110...', 'Panama', 'Tablice dyplomatyczne');
'W111', 'W111*', 'W111...', 'Katar', 'Tablice dyplomatyczne');
'W112', 'W112*', 'W112...', 'Malta', 'Tablice dyplomatyczne');
